Class,ClassFanIn,MethodFanIn
org/jfree/chart/internal/Args,238,880
org/jfree/chart/internal/SerialUtils,93,316
org/jfree/chart/axis/ValueAxis,77,284
org/jfree/chart/internal/PaintUtils,67,71
org/jfree/data/Range,61,339
org/jfree/chart/internal/HashUtils,54,79
org/jfree/chart/internal/CloneUtils,49,65
org/jfree/chart/plot/XYPlot,44,503
org/jfree/chart/api/RectangleInsets,43,186
org/jfree/chart/plot/PlotRenderingInfo,41,101
org/jfree/chart/plot/Plot,38,165
org/jfree/data/xy/XYDataset,36,135
org/jfree/chart/text/TextUtils,33,85
org/jfree/chart/ChartRenderingInfo,29,51
org/jfree/chart/internal/ShapeUtils,28,47
org/jfree/chart/plot/CategoryPlot,28,372
org/jfree/chart/api/RectangleEdge,24,77
org/jfree/chart/block/Size2D,24,92
org/jfree/chart/axis/CategoryAxis,24,132
org/jfree/chart/legend/LegendItem,23,172
org/jfree/chart/entity/EntityCollection,22,28
org/jfree/data/general/DatasetChangeEvent,22,34
org/jfree/data/general/DatasetUtils,20,58
org/jfree/chart/renderer/xy/AbstractXYItemRenderer,19,71
org/jfree/data/time/RegularTimePeriod,19,96
org/jfree/chart/renderer/category/CategoryItemRendererState,18,51
org/jfree/chart/entity/ChartEntity,16,38
org/jfree/chart/legend/LegendItemCollection,15,32
org/jfree/data/general/AbstractDataset,14,28
org/jfree/data/xy/AbstractIntervalXYDataset,14,14
org/jfree/chart/block/RectangleConstraint,13,110
org/jfree/chart/JFreeChart,13,148
org/jfree/chart/axis/AxisSpace,13,94
org/jfree/chart/api/PublicCloneable,13,14
org/jfree/chart/axis/AxisState,13,66
org/jfree/chart/axis/NumberAxis,12,86
org/jfree/chart/renderer/xy/XYItemRendererState,12,16
org/jfree/chart/plot/dial/DialLayerChangeEvent,12,72
org/jfree/chart/api/RectangleAnchor,11,16
org/jfree/chart/util/GradientPaintTransformer,11,14
org/jfree/chart/axis/NumberTickUnit,11,20
org/jfree/data/xy/IntervalXYDataset,11,48
org/jfree/chart/labels/XYSeriesLabelGenerator,10,10
org/jfree/data/xy/AbstractXYDataset,10,11
org/jfree/chart/axis/TickUnit,9,26
org/jfree/chart/plot/compass/MeterNeedle,9,34
org/jfree/chart/ChartElementVisitor,9,9
org/jfree/chart/axis/ValueTick,9,22
org/jfree/chart/plot/dial/DialPlot,9,29
org/jfree/chart/renderer/category/BarRenderer,9,45
org/jfree/chart/annotations/AbstractXYAnnotation,9,18
org/jfree/chart/labels/ItemLabelPosition,9,27
org/jfree/chart/plot/dial/AbstractDialLayer,9,28
org/jfree/chart/util/StandardGradientPaintTransformer,8,10
org/jfree/data/general/Series,8,29
org/jfree/chart/text/TextBlock,8,33
org/jfree/data/UnknownKeyException,8,24
org/jfree/chart/axis/NumberTick,8,14
org/jfree/chart/plot/PlotOrientation,8,18
org/jfree/chart/block/BlockContainer,8,30
org/jfree/chart/plot/Marker,8,63
org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,8,48
org/jfree/chart/event/ChartChangeEvent,8,13
org/jfree/chart/labels/CategorySeriesLabelGenerator,7,7
org/jfree/chart/axis/Axis,7,78
org/jfree/chart/swing/editor/LCBLayout,7,8
org/jfree/chart/title/Title,7,33
org/jfree/chart/title/TextTitle,7,34
org/jfree/chart/plot/PolarPlot,6,88
org/jfree/chart/entity/StandardEntityCollection,6,11
org/jfree/chart/plot/PlotState,6,10
org/jfree/data/xy/XYZDataset,6,7
org/jfree/chart/block/Block,6,25
org/jfree/data/xml/RootHandler,6,10
org/jfree/data/KeyedValues,6,8
org/jfree/chart/event/TitleChangeEvent,6,35
org/jfree/chart/block/AbstractBlock,6,29
org/jfree/chart/event/AxisChangeEvent,6,14
org/jfree/data/ComparableObjectItem,6,15
org/jfree/chart/renderer/xy/XYBarRenderer,6,29
org/jfree/chart/renderer/xy/XYLineAndShapeRenderer,6,37
org/jfree/data/time/TimePeriod,6,26
org/jfree/data/flow/FlowKey,5,12
org/jfree/chart/labels/XYToolTipGenerator,5,5
org/jfree/chart/labels/AbstractXYItemLabelGenerator,5,36
org/jfree/data/time/Day,5,65
org/jfree/data/DefaultKeyedValues,5,56
org/jfree/chart/renderer/category/BarPainter,5,11
org/jfree/data/DataUtils,5,8
org/jfree/chart/plot/pie/PiePlot,5,94
org/jfree/chart/urls/XYURLGenerator,5,5
org/jfree/chart/entity/XYItemEntity,5,8
org/jfree/chart/renderer/AbstractRenderer,5,120
org/jfree/data/ComparableObjectSeries,5,28
org/jfree/chart/block/EntityBlockParams,5,5
org/jfree/chart/plot/ValueAxisPlot,5,5
org/jfree/chart/block/BlockResult,5,10
org/jfree/chart/swing/editor/PaintSample,5,18
org/jfree/data/xy/XYSeries,5,81
org/jfree/chart/axis/AxisLocation,4,9
org/jfree/data/time/Year,4,22
org/jfree/chart/swing/ChartPanel,4,78
org/jfree/chart/internal/LineUtils,4,4
org/jfree/data/flow/FlowDataset,4,31
org/jfree/chart/axis/TickUnitSource,4,17
org/jfree/data/general/DefaultPieDataset,4,20
org/jfree/chart/date/SerialDate,4,74
org/jfree/chart/renderer/xy/XYLineAndShapeRenderer$State,4,7
org/jfree/data/category/IntervalCategoryDataset,4,12
org/jfree/data/DefaultKeyedValues2D,4,71
org/jfree/data/xml/ItemHandler,4,6
org/jfree/data/xy/OHLCDataset,4,20
org/jfree/chart/renderer/PaintScale,4,6
org/jfree/data/category/DefaultCategoryDataset,4,22
org/jfree/chart/renderer/category/LineAndShapeRenderer,4,22
org/jfree/data/time/TimePeriodFormatException,4,4
org/jfree/data/time/TimeSeries,4,103
org/jfree/chart/event/MarkerChangeEvent,4,18
org/jfree/chart/plot/DrawingSupplier,4,11
org/jfree/data/xy/TableXYDataset,4,4
org/jfree/chart/plot/CrosshairState,4,16
org/jfree/chart/event/RendererChangeEvent,4,8
org/jfree/chart/axis/Tick,4,7
org/jfree/chart/imagemap/ImageMapUtils,4,12
org/jfree/chart/text/G2TextMeasurer,4,6
org/jfree/chart/renderer/xy/XYItemRenderer,3,35
org/jfree/chart/block/EntityBlockResult,3,3
org/jfree/chart/labels/StandardXYToolTipGenerator,3,20
org/jfree/chart/text/TextFragment,3,14
org/jfree/chart/block/BorderArrangement,3,11
org/jfree/chart/labels/CategoryItemLabelGenerator,3,4
org/jfree/chart/plot/dial/DialPointer,3,9
org/jfree/chart/renderer/RendererState,3,3
org/jfree/chart/renderer/xy/GradientXYBarPainter,3,7
org/jfree/chart/event/PlotChangeEvent,3,8
