Class,ClassFanOut,MethodFanOut
org/jfree/chart/ChartFactory,60,356
org/jfree/chart/StandardChartTheme,43,201
org/jfree/chart/plot/XYPlot,32,410
org/jfree/chart/plot/CategoryPlot,32,337
org/jfree/chart/plot/pie/PiePlot,30,209
org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,30,125
org/jfree/chart/renderer/xy/AbstractXYItemRenderer,29,146
org/jfree/data/general/DatasetUtils,26,164
org/jfree/chart/legend/LegendTitle,24,94
org/jfree/chart/plot/PolarPlot,23,116
org/jfree/chart/JFreeChart,22,117
org/jfree/chart/axis/CategoryAxis,22,119
org/jfree/chart/plot/SpiderWebPlot,21,79
org/jfree/chart/renderer/xy/XYBarRenderer,20,65
org/jfree/chart/swing/ChartPanel,19,206
org/jfree/chart/renderer/xy/XYDifferenceRenderer,19,60
org/jfree/chart/plot/pie/MultiplePiePlot,19,57
org/jfree/chart/plot/Plot,18,58
org/jfree/chart/renderer/DefaultPolarItemRenderer,18,70
org/jfree/chart/axis/DateAxis,18,157
org/jfree/chart/renderer/category/BarRenderer,18,81
org/jfree/chart/plot/compass/CompassPlot,17,38
org/jfree/chart/plot/flow/FlowPlot,16,44
org/jfree/chart/renderer/xy/XYShapeRenderer,16,36
org/jfree/chart/legend/PaintScaleLegend,16,56
org/jfree/chart/axis/Axis,15,104
org/jfree/chart/renderer/xy/XYAreaRenderer,15,39
org/jfree/chart/renderer/xy/StackedXYAreaRenderer,15,36
org/jfree/chart/title/TextTitle,15,67
org/jfree/chart/plot/CombinedDomainXYPlot,14,75
org/jfree/chart/annotations/XYTitleAnnotation,14,26
org/jfree/chart/renderer/xy/XYAreaRenderer2,14,31
org/jfree/chart/renderer/category/BoxAndWhiskerRenderer,14,76
org/jfree/chart/axis/PeriodAxis,14,100
org/jfree/chart/renderer/xy/XYLineAndShapeRenderer,14,66
org/jfree/chart/renderer/xy/StandardXYItemRenderer,13,47
org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer,13,62
org/jfree/chart/axis/NumberAxis,13,100
org/jfree/chart/plot/RingPlot,13,32
org/jfree/chart/axis/LogAxis,13,109
org/jfree/chart/plot/FastScatterPlot,13,73
org/jfree/chart/plot/CombinedRangeXYPlot,13,72
org/jfree/chart/plot/CombinedRangeCategoryPlot,13,55
org/jfree/chart/axis/ValueAxis,13,119
org/jfree/chart/axis/CyclicNumberAxis,13,53
org/jfree/chart/plot/ThermometerPlot,12,60
org/jfree/chart/block/LabelBlock,12,27
org/jfree/chart/plot/MeterPlot,12,60
org/jfree/chart/renderer/xy/CandlestickRenderer,12,30
org/jfree/chart/renderer/AbstractRenderer,12,153
org/jfree/chart/renderer/xy/StackedXYBarRenderer,12,20
org/jfree/chart/swing/editor/DefaultPlotEditor,12,61
org/jfree/chart/plot/dial/DialValueIndicator,11,47
org/jfree/chart/axis/SymbolAxis,11,30
org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer,11,24
org/jfree/chart/renderer/xy/XYBlockRenderer,11,30
org/jfree/chart/renderer/xy/HighLowRenderer,11,25
org/jfree/chart/plot/CombinedDomainCategoryPlot,11,71
org/jfree/chart/renderer/category/WaterfallBarRenderer,11,25
org/jfree/chart/legend/LegendGraphic,11,31
org/jfree/chart/swing/CrosshairOverlay,10,67
org/jfree/chart/renderer/xy/YIntervalRenderer,10,20
org/jfree/chart/block/AbstractBlock,10,57
org/jfree/chart/renderer/category/StackedBarRenderer,10,24
org/jfree/chart/renderer/category/GanttRenderer,10,44
org/jfree/chart/annotations/CategoryLineAnnotation,9,28
org/jfree/chart/renderer/category/MinMaxCategoryRenderer,9,23
org/jfree/chart/renderer/xy/XYBubbleRenderer,9,24
org/jfree/chart/annotations/CategoryPointerAnnotation,9,19
org/jfree/chart/annotations/XYTextAnnotation,9,33
org/jfree/chart/renderer/xy/XYDotRenderer,9,24
org/jfree/chart/renderer/category/ScatterRenderer,9,25
org/jfree/chart/renderer/category/GroupedStackedBarRenderer,9,31
org/jfree/chart/ChartUtils,9,47
org/jfree/chart/axis/SubCategoryAxis,9,31
org/jfree/chart/renderer/xy/VectorRenderer,9,23
org/jfree/chart/renderer/xy/ClusteredXYBarRenderer,9,23
org/jfree/chart/annotations/XYLineAnnotation,9,18
org/jfree/chart/block/BlockContainer,9,20
org/jfree/chart/title/CompositeTitle,9,19
org/jfree/data/xy/XYSeriesCollection,9,64
org/jfree/chart/plot/dial/StandardDialRange,8,20
org/jfree/chart/plot/dial/DialPointer$Pin,8,19
org/jfree/chart/renderer/xy/DeviationRenderer,8,16
org/jfree/chart/plot/dial/DialPointer$Pointer,8,18
org/jfree/data/time/MovingAverage,8,35
org/jfree/chart/renderer/category/StatisticalBarRenderer,8,23
org/jfree/chart/plot/dial/DialBackground,8,15
org/jfree/chart/renderer/category/StackedAreaRenderer,8,18
org/jfree/chart/swing/editor/DefaultAxisEditor,8,45
org/jfree/chart/renderer/category/LineAndShapeRenderer,8,36
org/jfree/chart/renderer/xy/XYSplineRenderer,8,18
org/jfree/chart/axis/ExtendedCategoryAxis,8,16
org/jfree/chart/renderer/xy/DeviationStepRenderer,8,21
org/jfree/chart/annotations/XYPointerAnnotation,8,20
org/jfree/chart/renderer/category/AreaRenderer,8,22
org/jfree/chart/annotations/XYPolygonAnnotation,8,18
org/jfree/data/time/ohlc/OHLCSeriesCollection,8,34
org/jfree/chart/plot/dial/DialTextAnnotation,8,20
org/jfree/chart/legend/LegendItem,8,34
org/jfree/chart/renderer/xy/SamplingXYLineRenderer,8,14
org/jfree/chart/renderer/xy/StackedXYAreaRenderer2,8,19
org/jfree/data/time/TimeSeriesCollection,8,64
org/jfree/chart/annotations/XYShapeAnnotation,8,19
org/jfree/chart/imagemap/ImageMapUtils,8,21
org/jfree/chart/plot/dial/StandardDialScale,7,38
org/jfree/chart/renderer/category/LevelRenderer,7,37
org/jfree/chart/plot/dial/StandardDialFrame,7,19
org/jfree/chart/swing/MouseWheelHandler,7,14
org/jfree/chart/renderer/category/LayeredBarRenderer,7,27
