Method, Number of uses
org/jfree/chart/plot/PlotRenderingInfo.getSubplotIndex, 6
org/jfree/chart/internal/Args.nullNotPermitted, 831
org/jfree/chart/plot/PlotRenderingInfo.getSubplotInfo, 8
org/jfree/chart/plot/PlotRenderingInfo.getDataArea, 17
org/jfree/chart/internal/CloneUtils.clone, 29
org/jfree/chart/internal/SerialUtils.writeShape, 26
org/jfree/chart/internal/SerialUtils.readShape, 26
org/jfree/chart/axis/TickUnit.equals, 6
org/jfree/chart/axis/TickUnit.getSize, 12
org/jfree/chart/swing/editor/LCBLayout.<init>, 8
org/jfree/chart/plot/XYPlot.<init>, 17
org/jfree/chart/plot/XYPlot.setOrientation, 12
org/jfree/data/Range.combine, 10
org/jfree/chart/axis/AxisSpace.<init>, 15
org/jfree/chart/axis/AxisSpace.getLeft, 9
org/jfree/chart/axis/AxisSpace.getRight, 9
org/jfree/chart/axis/AxisSpace.getTop, 9
org/jfree/chart/axis/AxisSpace.getBottom, 9
org/jfree/chart/plot/Plot.resolveDomainAxisLocation, 19
org/jfree/chart/axis/ValueAxis.reserveSpace, 8
org/jfree/chart/axis/AxisSpace.shrink, 12
org/jfree/chart/plot/PlotRenderingInfo.setPlotArea, 15
org/jfree/chart/api/RectangleInsets.trim, 22
org/jfree/chart/plot/PlotState.getSharedAxisStates, 6
org/jfree/chart/plot/PlotRenderingInfo.getOwner, 30
org/jfree/chart/plot/PlotRenderingInfo.<init>, 7
org/jfree/chart/plot/PlotRenderingInfo.addSubplotInfo, 5
org/jfree/chart/plot/PlotRenderingInfo.setDataArea, 11
org/jfree/chart/legend/LegendItemCollection.<init>, 14
org/jfree/chart/legend/LegendItemCollection.addAll, 5
org/jfree/chart/plot/XYPlot.getRangeAxis, 6
org/jfree/chart/plot/XYPlot.setRenderer, 9
org/jfree/chart/plot/XYPlot.indexOf, 18
org/jfree/chart/plot/XYPlot.configureRangeAxes, 5
org/jfree/chart/internal/CloneUtils.cloneList, 26
org/jfree/chart/internal/PaintUtils.equal, 67
org/jfree/chart/internal/SerialUtils.writePaint, 77
org/jfree/chart/internal/SerialUtils.readPaint, 77
org/jfree/chart/labels/AbstractXYItemLabelGenerator.<init>, 9
org/jfree/chart/labels/AbstractXYItemLabelGenerator.<init>, 5
org/jfree/data/xy/XYDataset.getXValue, 47
org/jfree/data/xy/XYDataset.getYValue, 39
org/jfree/data/xy/IntervalXYDataset.getStartXValue, 11
org/jfree/data/xy/IntervalXYDataset.getEndXValue, 11
org/jfree/data/xy/IntervalXYDataset.getStartYValue, 11
org/jfree/data/xy/IntervalXYDataset.getEndYValue, 11
org/jfree/data/xy/XYDataset.getY, 7
org/jfree/chart/labels/AbstractXYItemLabelGenerator.equals, 5
org/jfree/chart/renderer/xy/AbstractXYItemRenderer.<init>, 18
org/jfree/chart/plot/XYPlot.getDomainAxisEdge, 41
org/jfree/chart/plot/XYPlot.getRangeAxisEdge, 41
org/jfree/chart/axis/ValueAxis.valueToJava2D, 93
org/jfree/chart/renderer/xy/AbstractXYItemRenderer.clone, 18
org/jfree/chart/plot/Plot.<init>, 13
org/jfree/chart/plot/PolarPlot.getAxis, 6
org/jfree/chart/plot/PolarPlot.getAxis, 6
org/jfree/chart/plot/PolarPlot.getDataset, 8
